source_index,source_file,global_request_id,依頼No.,項目名,項目No.,測光ﾎﾟｰﾄ,処理値,時間,吸光度
1,240624 F07---TAT高値検体-スクリ－ニング (1～40).csv,1_7,7,TAT5,46,15,1.4,0.0,6649.0
1,240624 F07---TAT高値検体-スクリ－ニング (1～40).csv,1_7,7,TAT5,46,15,1.4,9.2,6628.0
1,240624 F07---TAT高値検体-スクリ－ニング (1～40).csv,1_7,7,TAT5,46,15,1.4,18.0,6630.0
1,240624 F07---TAT高値検体-スクリ－ニング (1～40).csv,1_7,7,TAT5,46,15,1.4,27.2,6632.0
1,240624 F07---TAT高値検体-スクリ－ニング (1～40).csv,1_7,7,TAT5,46,15,1.4,36.0,6636.0
1,240624 F07---TAT高値検体-スクリ－ニング (1～40).csv,1_7,7,TAT5,46,15,1.4,45.2,6640.0
1,240624 F07---TAT高値検体-スクリ－ニング (1～40).csv,1_7,7,TAT5,46,15,1.4,54.0,6640.0
1,240624 F07---TAT高値検体-スクリ－ニング (1～40).csv,1_7,7,TAT5,46,15,1.4,63.2,6645.0
1,240624 F07---TAT高値検体-スクリ－ニング (1～40).csv,1_7,7,TAT5,46,15,1.4,72.0,6643.0
1,240624 F07---TAT高値検体-スクリ－ニング (1～40).csv,1_7,7,TAT5,46,15,1.4,81.2,6651.0
1,240624 F07---TAT高値検体-スクリ－ニング (1～40).csv,1_7,7,TAT5,46,15,1.4,90.0,6648.0
1,240624 F07---TAT高値検体-スクリ－ニング (1～40).csv,1_7,7,TAT5,46,15,1.4,99.2,6652.0
1,240624 F07---TAT高値検体-スクリ－ニング (1～40).csv,1_7,7,TAT5,46,15,1.4,108.0,6656.0
1,240624 F07---TAT高値検体-スクリ－ニング (1～40).csv,1_7,7,TAT5,46,15,1.4,117.2,6657.0
1,240624 F07---TAT高値検体-スクリ－ニング (1～40).csv,1_7,7,TAT5,46,15,1.4,126.0,6659.0
1,240624 F07---TAT高値検体-スクリ－ニング (1～40).csv,1_7,7,TAT5,46,15,1.4,135.2,6661.0
1,240624 F07---TAT高値検体-スクリ－ニング (1～40).csv,1_7,7,TAT5,46,15,1.4,144.0,6664.0
1,240624 F07---TAT高値検体-スクリ－ニング (1～40).csv,1_7,7,TAT5,46,15,1.4,153.2,6667.0
1,240624 F07---TAT高値検体-スクリ－ニング (1～40).csv,1_7,7,TAT5,46,15,1.4,162.0,6671.0
1,240624 F07---TAT高値検体-スクリ－ニング (1～40).csv,1_7,7,TAT5,46,15,1.4,171.2,6672.0
1,240624 F07---TAT高値検体-スクリ－ニング (1～40).csv,1_7,7,TAT5,46,15,1.4,180.0,6678.0
1,240624 F07---TAT高値検体-スクリ－ニング (1～40).csv,1_7,7,TAT6,47,16,-0.1,0.0,8702.0
1,240624 F07---TAT高値検体-スクリ－ニング (1～40).csv,1_7,7,TAT6,47,16,-0.1,9.2,8680.0
1,240624 F07---TAT高値検体-スクリ－ニング (1～40).csv,1_7,7,TAT6,47,16,-0.1,18.0,8678.0
1,240624 F07---TAT高値検体-スクリ－ニング (1～40).csv,1_7,7,TAT6,47,16,-0.1,27.2,8672.0
1,240624 F07---TAT高値検体-スクリ－ニング (1～40).csv,1_7,7,TAT6,47,16,-0.1,36.0,8670.0
1,240624 F07---TAT高値検体-スクリ－ニング (1～40).csv,1_7,7,TAT6,47,16,-0.1,45.2,8671.0
1,240624 F07---TAT高値検体-スクリ－ニング (1～40).csv,1_7,7,TAT6,47,16,-0.1,54.0,8665.0
1,240624 F07---TAT高値検体-スクリ－ニング (1～40).csv,1_7,7,TAT6,47,16,-0.1,63.2,8668.0
1,240624 F07---TAT高値検体-スクリ－ニング (1～40).csv,1_7,7,TAT6,47,16,-0.1,72.0,8663.0
1,240624 F07---TAT高値検体-スクリ－ニング (1～40).csv,1_7,7,TAT6,47,16,-0.1,81.2,8661.0
1,240624 F07---TAT高値検体-スクリ－ニング (1～40).csv,1_7,7,TAT6,47,16,-0.1,90.0,8665.0
1,240624 F07---TAT高値検体-スクリ－ニング (1～40).csv,1_7,7,TAT6,47,16,-0.1,99.2,8663.0
